Sample,Cell_no,Cu_conc,Pb_conc,Zn_conc,Location,Metal,Block,Age,Cu_in_nom,Pb_in_nom,Zn_in_nom,Cu_in_meas,Pb_in_meas,Zn_in_meas
DN1-30,30,4,10,2,Drain,No,x,3,4,10,2,4,10,8
DN2-30,30,4,10,2,Drain,No,y,3,4,10,2,4,10,8
DN3-30,30,4,10,2,Drain,No,z,3,4,10,2,4,10,8
IN1-30,30,4,10,2,Inflow,No,x,3,4,10,2,4,10,8
IN2-30,30,4,10,2,Inflow,No,y,3,4,10,2,4,10,8
DH2-31,31,24,29,600,Drain,High,y,1,80,500,960,72,453,441
DH3-31,31,21,56,768,Drain,High,z,1,80,500,960,72,453,441
DH1-31,31,19,22,526,Drain,High,x,1,80,500,960,72,453,441
DL3-31,31,6,10,15,Drain,High,z,1,80,500,960,72,453,441
IH3-31,31,9,12,147,Inflow,High,z,1,80,500,960,72,453,441
DL2-31,31,10,14,62,Drain,Low,y,1,20,100,50,18,78,29
DL1-31,31,7,10,10,Drain,Low,x,1,20,100,50,18,78,29
IL2-31,31,4,10,12,Inflow,Low,y,1,20,100,50,18,78,29
DN1-31,31,4,10,10,Drain,No,x,1,4,10,2,4,10,8
DN2-31,31,4,10,3,Drain,No,y,1,4,10,2,4,10,8
IN3-31,31,4,10,10,Inflow,No,z,1,4,10,2,4,10,8
DH1-32,32,35,18,727,Drain,High,x,1,80,500,960,72,453,441
DH2-32,32,18,10,189,Drain,High,y,1,80,500,960,72,453,441
DH3-32,32,14,10,11,Drain,High,z,1,80,500,960,72,453,441
IH2-32,32,53,264,891,Inflow,High,y,1,80,500,960,72,453,441
IH3-32,32,24,10,53,Inflow,High,z,1,80,500,960,72,453,441
IH1-32,32,8,10,2,Inflow,High,x,1,80,500,960,72,453,441
IN2-32,32,4,10,2,Inflow,High,y,1,80,500,960,72,453,441
DL1-32,32,31,10,10,Drain,Low,x,1,20,100,50,18,78,29
